150 100
F10 286.76 29.21 0
F11 159.39 106.15 0
F12 253.27 183.15 0
F13 195.62 81.78 0
F14 81.10 240.69 0
F15 76.60 175.25 0
F16 138.33 202.59 0
F17 72.54 201.57 0
F18 231.15 155.99 0
F19 203.32 297.96 0
F20 93.98 3.17 0
F21 2.54 20.39 0
F22 123.37 157.58 0
F23 205.65 105.45 0
F24 217.58 75.57 0
F25 10.21 185.82 0
F26 17.06 178.24 0
F27 268.19 65.05 0
F28 179.82 36.54 0
F29 287.34 25.92 0
F30 181.41 112.79 0
F31 229.16 194.37 0
F32 240.96 55.43 0
F33 33.25 55.28 0
F34 88.37 198.14 0
F35 22.71 136.03 0
F36 298.57 230.81 0
F37 207.67 200.27 0
F38 231.04 77.20 0
F39 234.22 83.19 0
F40 18.72 116.58 0
F41 298.79 77.47 0
F42 243.84 53.38 0
F43 20.82 293.83 0
F44 60.20 117.79 0
F45 193.64 32.53 0
F46 162.19 129.38 0
F47 184.19 31.87 0
F48 132.47 77.70 0
F49 10.46 21.12 0
F50 218.26 233.17 0
F51 5.63 149.31 0
F52 195.86 0.26 0
F53 11.35 117.15 0
F54 45.48 98.95 0
F55 117.40 1.11 0
F56 212.28 231.30 0
F57 143.44 121.17 0
F58 218.33 243.68 0
F59 21.03 67.75 0
F60 115.33 206.78 0
F61 233.95 36.36 0
F62 160.59 297.48 0
F63 100.03 90.85 0
F64 16.56 299.10 0
F65 194.12 109.61 0
F66 256.00 102.02 0
F67 252.35 228.14 0
F68 86.99 60.94 0
F69 166.34 290.25 0
F70 198.22 89.66 0
F71 117.03 32.03 0
F72 206.65 145.95 0
F73 265.56 131.40 0
F74 56.84 10.71 0
F75 7.61 298.92 0
F76 71.55 116.63 0
F77 237.82 193.02 0
F78 149.91 289.49 0
F79 243.53 289.97 0
F80 4.93 101.79 0
F81 101.32 216.30 0
F82 121.65 63.50 0
F83 196.15 156.94 0
F84 282.03 261.06 0
F85 160.97 222.32 0
F86 69.90 21.61 0
F87 220.64 146.67 0
F88 5.72 272.15 0
F89 185.51 72.80 0
F90 194.64 4.31 0
F91 189.80 271.40 0
F92 246.22 29.19 0
F93 183.37 250.61 0
F94 19.19 245.24 0
F95 34.25 178.49 0
F96 184.69 18.93 0
F97 60.79 101.20 0
F98 250.77 221.38 0
F99 120.60 36.24 0
F100 205.23 163.77 0
12.0
